name,state,genotype,result,probability
via,susceptible,all,positive,0.15
via,susceptible,all,inadequate,0
via,susceptible,all,negative,0.85
via,latent,all,positive,0.15
via,latent,all,inadequate,0
via,latent,all,negative,0.85
via,precin,all,positive,0.15
via,precin,all,inadequate,0
via,precin,all,negative,0.85
via,cin,all,positive,0.75
via,cin,all,inadequate,0
via,cin,all,negative,0.25
via,cancerous,all,positive,1
via,cancerous,all,inadequate,0
via,cancerous,all,negative,0
lbc,susceptible,all,normal,0.9
lbc,susceptible,all,ascus,0.1
lbc,susceptible,all,abnormal,0
lbc,susceptible,all,inadequate,0
lbc,latent,all,normal,0.9
lbc,latent,all,ascus,0.1
lbc,latent,all,abnormal,0
lbc,latent,all,inadequate,0
lbc,precin,all,normal,0.9
lbc,precin,all,ascus,0.1
lbc,precin,all,abnormal,0
lbc,precin,all,inadequate,0
lbc,cin,all,normal,0
lbc,cin,all,ascus,0.1
lbc,cin,all,abnormal,0.9
lbc,cin,all,inadequate,0
lbc,cancerous,all,normal,0
lbc,cancerous,all,ascus,0
lbc,cancerous,all,abnormal,1
lbc,cancerous,all,inadequate,0
pap,susceptible,all,normal,0.9
pap,susceptible,all,ascus,0.1
pap,susceptible,all,abnormal,0
pap,susceptible,all,inadequate,0
pap,latent,all,normal,0.9
pap,latent,all,ascus,0.1
pap,latent,all,abnormal,0
pap,latent,all,inadequate,0
pap,precin,all,normal,0.9
pap,precin,all,ascus,0.1
pap,precin,all,abnormal,0
pap,precin,all,inadequate,0
pap,cin,all,normal,0.05
pap,cin,all,ascus,0.15
pap,cin,all,abnormal,0.8
pap,cin,all,inadequate,0
pap,cancerous,all,normal,0
pap,cancerous,all,ascus,0
pap,cancerous,all,abnormal,1
pap,cancerous,all,inadequate,0
colposcopy,susceptible,all,normal,1
colposcopy,susceptible,all,ascus,0
colposcopy,susceptible,all,lsil,0
colposcopy,susceptible,all,hsil,0
colposcopy,susceptible,all,cancer,0
colposcopy,susceptible,all,inadequate,0
colposcopy,latent,all,normal,1
colposcopy,latent,all,ascus,0
colposcopy,latent,all,lsil,0
colposcopy,latent,all,hsil,0
colposcopy,latent,all,cancer,0
colposcopy,latent,all,inadequate,0
colposcopy,precin,all,normal,1
colposcopy,precin,all,ascus,0
colposcopy,precin,all,lsil,0
colposcopy,precin,all,hsil,0
colposcopy,precin,all,cancer,0
colposcopy,precin,all,inadequate,0
colposcopy,cin,all,normal,0
colposcopy,cin,all,ascus,0.05
colposcopy,cin,all,lsil,0.05
colposcopy,cin,all,hsil,0.9
colposcopy,cin,all,cancer,0
colposcopy,cin,all,inadequate,0
colposcopy,cancerous,all,normal,0
colposcopy,cancerous,all,ascus,0
colposcopy,cancerous,all,lsil,0
colposcopy,cancerous,all,hsil,0.1
colposcopy,cancerous,all,cancer,0.9
colposcopy,cancerous,all,inadequate,0
hpv,susceptible,hpv16,positive,0
hpv,susceptible,hpv16,negative,1
hpv,susceptible,hpv16,inadequate,0
hpv,susceptible,hpv18,positive,0
hpv,susceptible,hpv18,negative,1
hpv,susceptible,hpv18,inadequate,0
hpv,susceptible,hi5,positive,0
hpv,susceptible,hi5,negative,1
hpv,susceptible,hi5,inadequate,0
hpv,susceptible,ohr,positive,0
hpv,susceptible,ohr,negative,1
hpv,susceptible,ohr,inadequate,0
hpv,susceptible,hr,positive,0
hpv,susceptible,hr,negative,1
hpv,susceptible,hr,inadequate,0
hpv,susceptible,lr,positive,0
hpv,susceptible,lr,negative,1
hpv,susceptible,lr,inadequate,0
hpv,latent,hpv16,positive,0
hpv,latent,hpv16,negative,1
hpv,latent,hpv16,inadequate,0
hpv,latent,hpv18,positive,0
hpv,latent,hpv18,negative,1
hpv,latent,hpv18,inadequate,0
hpv,latent,hi5,positive,0
hpv,latent,hi5,negative,1
hpv,latent,hi5,inadequate,0
hpv,latent,ohr,positive,0
hpv,latent,ohr,negative,1
hpv,latent,ohr,inadequate,0
hpv,latent,hr,positive,0
hpv,latent,hr,negative,1
hpv,latent,hr,inadequate,0
hpv,latent,lr,positive,0
hpv,latent,lr,negative,1
hpv,latent,lr,inadequate,0
hpv,precin,hpv16,positive,0.9
hpv,precin,hpv16,negative,0.1
hpv,precin,hpv16,inadequate,0
hpv,precin,hpv18,positive,0.9
hpv,precin,hpv18,negative,0.1
hpv,precin,hpv18,inadequate,0
hpv,precin,hi5,positive,0.9
hpv,precin,hi5,negative,0.1
hpv,precin,hi5,inadequate,0
hpv,precin,ohr,positive,0.9
hpv,precin,ohr,negative,0.1
hpv,precin,ohr,inadequate,0
hpv,precin,hr,positive,0.9
hpv,precin,hr,negative,0.1
hpv,precin,hr,inadequate,0
hpv,precin,lr,positive,0.9
hpv,precin,lr,negative,0.1
hpv,precin,lr,inadequate,0
hpv,cin,hpv16,positive,0.9
hpv,cin,hpv16,negative,0.1
hpv,cin,hpv16,inadequate,0
hpv,cin,hpv18,positive,0.9
hpv,cin,hpv18,negative,0.1
hpv,cin,hpv18,inadequate,0
hpv,cin,hi5,positive,0.9
hpv,cin,hi5,negative,0.1
hpv,cin,hi5,inadequate,0
hpv,cin,ohr,positive,0.9
hpv,cin,ohr,negative,0.1
hpv,cin,ohr,inadequate,0
hpv,cin,hr,positive,0.9
hpv,cin,hr,negative,0.1
hpv,cin,hr,inadequate,0
hpv,cin,lr,positive,0.9
hpv,cin,lr,negative,0.1
hpv,cin,lr,inadequate,0
hpv,cancerous,hpv16,positive,0.9
hpv,cancerous,hpv16,negative,0.1
hpv,cancerous,hpv16,inadequate,0
hpv,cancerous,hpv18,positive,0.9
hpv,cancerous,hpv18,negative,0.1
hpv,cancerous,hpv18,inadequate,0
hpv,cancerous,hi5,positive,0.9
hpv,cancerous,hi5,negative,0.1
hpv,cancerous,hi5,inadequate,0
hpv,cancerous,ohr,positive,0.9
hpv,cancerous,ohr,negative,0.1
hpv,cancerous,ohr,inadequate,0
