year,name,age,sex,genotype,value
2020,cancers,0,female,total,0
2020,cancers,15,female,total,15
2020,cancers,20,female,total,191
2020,cancers,25,female,total,1615
2020,cancers,30,female,total,5335
2020,cancers,35,female,total,8961
2020,cancers,40,female,total,11990
2020,cancers,45,female,total,14439
2020,cancers,50,female,total,15597
2020,cancers,55,female,total,16024
2020,cancers,60,female,total,15218
2020,cancers,65,female,total,13352
2020,cancers,70,female,total,9364
2020,cancers,75,female,total,6200
2020,cancers,80,female,total,3593
2020,cancers,85,female,total,1995
