Age,Year,Incidence,Sex
10,1985,0,m
11,1985,0,m
12,1985,0.00000002,m
13,1985,0.0000002,m
14,1985,0.00000115,m
15,1985,0.00000533,m
16,1985,0.0000152,m
17,1985,0.00003,m
18,1985,0.0000536,m
19,1985,0.0000666,m
20,1985,0.0000786,m
21,1985,0.000091,m
22,1985,0.000104,m
23,1985,0.000119,m
24,1985,0.000134,m
25,1985,0.0002,m
26,1985,0.0002,m
27,1985,0.0002,m
28,1985,0.0002,m
29,1985,0.0002,m
30,1985,0.0002,m
31,1985,0.0002,m
32,1985,0.0002,m
33,1985,0.0002,m
34,1985,0.0002,m
35,1985,0.0002,m
36,1985,0.0002,m
37,1985,0.0002,m
38,1985,0.0002,m
39,1985,0.0002,m
40,1985,0.0002,m
41,1985,0.000183,m
42,1985,0.000171,m
43,1985,0.000158,m
44,1985,0.000145,m
45,1985,0.000132,m
46,1985,0.00012,m
47,1985,0.000109,m
48,1985,0.0000979,m
49,1985,0.0000875,m
50,1985,0.0000777,m
51,1985,0.0000686,m
52,1985,0.0000601,m
53,1985,0.0000524,m
54,1985,0.0000455,m
55,1985,0.0000393,m
56,1985,0.0000339,m
57,1985,0.0000291,m
58,1985,0.0000249,m
59,1985,0.0000213,m
60,1985,0.0000182,m
61,1985,0.0000155,m
62,1985,0.0000131,m
63,1985,0.0000111,m
64,1985,0.00000931,m
65,1985,0.00000782,m
66,1985,0.00000656,m
67,1985,0.00000549,m
68,1985,0.00000458,m
69,1985,0.00000382,m
70,1985,0.00000317,m
71,1985,0.00000263,m
72,1985,0.00000217,m
73,1985,0.00000178,m
74,1985,0.00000146,m
75,1985,0.0000012,m
76,1985,0.00000099,m
77,1985,0.00000081,m
78,1985,0.00000066,m
79,1985,0.00000053,m
80,1985,0.00000043,m
81,1985,0.00000035,m
82,1985,0.00000028,m
83,1985,0.00000023,m
84,1985,0.00000019,m
85,1985,0.00000016,m
86,1985,0.00000013,m
87,1985,0.00000012,m
88,1985,0.00000012,m
89,1985,0.00000013,m
90,1985,0.00000028,m
10,1986,0,m
11,1986,0,m
12,1986,0.00000008,m
13,1986,0.00000069,m
14,1986,0.0000039,m
15,1986,0.0000149,m
16,1986,0.0000405,m
17,1986,0.0000808,m
18,1986,0.0001,m
19,1986,0.0002,m
20,1986,0.0002,m
21,1986,0.0003,m
22,1986,0.0003,m
23,1986,0.0004,m
24,1986,0.0005,m
25,1986,0.0005,m
26,1986,0.0006,m
27,1986,0.0007,m
28,1986,0.0008,m
29,1986,0.0008,m
30,1986,0.0009,m
31,1986,0.0009,m
32,1986,0.001,m
33,1986,0.001,m
34,1986,0.001,m
35,1986,0.001,m
36,1986,0.001,m
37,1986,0.001,m
38,1986,0.0009,m
39,1986,0.0009,m
40,1986,0.0008,m
41,1986,0.0008,m
42,1986,0.0007,m
43,1986,0.0007,m
44,1986,0.0006,m
45,1986,0.0006,m
46,1986,0.0005,m
47,1986,0.0005,m
48,1986,0.0004,m
49,1986,0.0004,m
50,1986,0.0003,m
51,1986,0.0003,m
52,1986,0.0003,m
53,1986,0.000223,m
54,1986,0.000194,m
55,1986,0.000168,m
56,1986,0.000145,m
57,1986,0.000125,m
58,1986,0.000107,m
59,1986,0.0000916,m
60,1986,0.0000782,m
61,1986,0.0000666,m
62,1986,0.0000566,m
63,1986,0.0000479,m
64,1986,0.0000404,m
65,1986,0.000034,m
66,1986,0.0000285,m
