year,name,age,sex,genotype,value
2020,total_cancers,0,female,total,0
2020,total_cancers,15,female,total,6
2020,total_cancers,20,female,total,10
2020,total_cancers,25,female,total,77
2020,total_cancers,30,female,total,293
2020,total_cancers,35,female,total,508
2020,total_cancers,40,female,total,704
2020,total_cancers,45,female,total,793
2020,total_cancers,50,female,total,751
2020,total_cancers,55,female,total,689
2020,total_cancers,60,female,total,584
2020,total_cancers,65,female,total,438
2020,total_cancers,70,female,total,251
2020,total_cancers,75,female,total,101
2020,total_cancers,80,female,total,29
2020,total_cancers,85,female,total,0
